idP1,idP2
638,9987
638,2162
638,1326
638,1433
638,8746
638,11439
638,12546
638,179
638,852
638,7195
640,11222
640,13733
641,846
641,1093
644,1097
644,418
643,14725
643,1790
649,7258
649,2919
649,10776
649,18231
649,19309
649,7329
649,5887
649,4482
649,16506
649,16862
649,2240
649,18322
649,667
649,152
649,12839
649,10126
649,1851
649,17620
649,6335
649,9222
649,8481
649,7934
649,9441
649,18180
649,9800
649,19588
649,12323
649,2940
649,1527
649,10719
649,18301
649,11810
649,13666
649,9113
649,1963
649,7205
649,7323
649,18538
649,19199
649,18589
649,4706
649,18780
649,18900
649,18691
649,8522
649,5133
649,10455
649,9318
649,7144
649,6997
649,18470
649,13724
649,8390
649,18426
649,6429
649,1141
649,18241
649,1728
649,5049
649,18475
649,9078
649,619
649,11666
649,867
649,11579
649,9467
649,18677
649,18374
649,7806
649,3390
649,18718
649,2552
649,1398
649,17204
649,8758
649,17826
649,9892
649,10500
649,17374
649,17193
649,16978
649,5073
651,3431
651,3687
652,17619
652,12502
656,1168
656,19614
658,451
663,1478
663,2055
663,887
663,2235
663,337
661,5758
661,352
661,18835
661,4726
661,491
661,1582
661,2238
661,2445
661,12413
661,5205
661,423
661,10786
661,500
661,1748
661,5781
661,2725
661,1787
661,10659
661,8155
661,5189
661,8570
661,0
661,821
661,16444
661,537
661,3142
661,1073
661,1304
661,3490
661,10266
661,9845
661,14832
661,2044
661,8502
661,11573
661,19536
661,331
661,56
661,1363
661,1849
661,9032
661,19185
661,7464
661,16947
661,15938
661,7017
661,2454
661,1080
661,11237
661,7946
661,2700
661,18815
661,17750
671,7094
669,1059
669,10768
672,19280
672,411
672,1137
672,2179
673,272
674,8889
680,256
680,628
680,899
682,11390
682,18280
683,18426
683,18475
683,16922
683,10705
687,5825
686,1602
686,1800
686,14184
686,2033
686,4430
690,11520
690,18972
690,17165
690,22
690,8474
690,649
690,17960
690,12811
690,381
690,1057
690,4706
693,1463
697,1273
697,1803
699,889
699,1749
700,1908
700,7801
701,558
701,8639
701,1473
705,286
706,129
710,9414
710,16785
710,18625
712,12524
714,689
718,16665
719,8533
719,325
719,4726
719,17820
719,12626
719,14832
721,8421
721,12797
721,11884
721,2158
721,11150
721,13031
721,8850
721,8079
721,12093
721,77
721,11331
721,8601
721,11968
721,7890
721,11335
721,9093
721,7965
721,11024
721,13327
721,640
721,13347
721,11490
721,13448
721,13089
721,13338
721,12577
721,13476
721,10528
721,7744
721,11437
721,10883
721,9424
721,11343
721,13475
721,13939
721,11203
721,11040
721,12986
721,11600
721,10710
721,10917
721,12908
721,7120
721,13705
721,12929
721,12646
721,11388
721,11169
721,12673
721,11196
721,1838
721,11151
721,11387
721,14633
721,1036
721,8120
721,11107
721,11448
721,11758
721,11116
721,12630
721,13004
721,13661
721,12640
721,10511
721,12872
721,7901
721,11055
721,13781
721,11768
721,7761
721,8357
721,10262
728,327
728,3383
728,4296
728,4030
728,2521
728,4141
730,10572
730,166
734,5174
736,7960
736,1378
736,1875
739,1159
742,12198
742,13750
742,10149
742,11869
745,19507
745,9426
745,17605
745,7044
745,8589
745,18779
745,12459
745,1940
747,75
748,239
748,884
748,16790
749,1911
751,1030
751,12490
751,12244
751,10453
751,9462
751,153
751,1390
751,2243
751,19320
751,887
757,1313
758,9786
758,10496
759,8770
759,1931
759,2233
759,236
759,887
763,69
763,1108
763,1734
764,11013
764,10356
764,13492
764,12623
764,12042
764,10996
764,11754
768,1786
768,270
768,10197
768,100
766,5974
766,11687
770,9618
770,10793
771,10
775,2947
775,4238
775,6879
775,2678
775,8833
775,334
775,15280
779,18333
780,1912
786,11727
786,279
788,18725
788,10712
788,19114
788,12488
788,19374
788,11471
788,10095
788,17294
788,18901
788,11439
788,9169
788,1753
788,16575
788,1623
788,1920
788,1993
789,16769
790,18530
790,3051
790,7105
793,784
794,1460
794,1293
797,7518
797,1101
797,8908
796,9618
796,17607
801,47
808,7515
819,12930
819,18925
819,5091
819,280
819,1704
819,1291
819,12442
814,1459
814,1426
814,219
818,1288
817,13181
822,3486
821,12683
821,17486
823,12044
823,9624
823,7328
823,1484
823,9872
823,11812
823,227
823,4894
823,9984
829,1803
832,8285
832,19507
832,12276
832,20
832,1288
832,17887
832,18779
832,7703
832,12306
834,1749
834,18363
834,695
834,628
835,9474
835,14864
835,2031
835,11772
835,1718
835,13449
838,689
838,365
840,1780
840,13099
840,12021
840,1396
840,7627
840,10276
840,9256
840,8070
842,300
843,14684
843,19037
843,18992
843,16807
843,11171
843,9345
843,3843
843,18715
843,8612
843,11714
843,4078
843,1207
843,847
843,18549
843,11450
843,13221
843,1672
843,8976
843,335
843,5575
843,17055
843,4048
843,8742
843,13965
843,12155
843,17001
843,10579
843,334
843,4937
843,18915
843,12821
843,13512
843,713
843,130
843,19359
843,17037
843,16505
843,18998
843,16630
844,19295
845,1025
845,7122
845,833
846,882
847,7804
847,854
847,2183
847,34
847,267
848,17765
848,7828
848,19084
848,7354
848,11004
848,8175
848,861
848,18322
848,9478
848,808
848,9487
848,11810
848,11414
848,18426
848,454
848,682
848,19177
851,11520
851,5852
851,14684
851,22
853,8479
852,1433
856,2275
856,612
857,521
862,18284
862,12046
862,18381
