idA1,idA2,idP
14878,14411,81
14411,9205,81
14411,3861,81
14411,14878,81
10805,13371,82
10805,2591,82
13371,10805,82
13371,2591,82
2591,10805,82
2591,13371,82
1843,16788,83
16788,1843,83
6601,1496,84
1496,6601,84
5281,7952,85
5281,5414,85
7952,5281,85
7952,5414,85
5414,5281,85
5414,7952,85
18187,14696,86
18187,17420,86
18187,5856,86
18187,17002,86
14696,18187,86
14696,17420,86
14696,5856,86
14696,17002,86
17420,18187,86
17420,14696,86
17420,5856,86
17420,17002,86
5856,18187,86
5856,14696,86
5856,17420,86
5856,17002,86
17002,18187,86
17002,14696,86
17002,17420,86
17002,5856,86
370,7273,87
370,7305,87
370,6804,87
7273,370,87
7273,7305,87
7273,6804,87
7305,370,87
7305,7273,87
7305,6804,87
6804,370,87
6804,7273,87
6804,7305,87
2375,16629,88
16629,2375,88
13910,3617,89
3617,13910,89
3927,15506,90
15506,3927,90
1200,6243,91
1200,15972,91
6243,1200,91
6243,15972,91
15972,1200,91
15972,6243,91
10519,4804,92
10519,1599,92
10519,10474,92
4804,10519,92
4804,1599,92
4804,10474,92
1599,10519,92
1599,4804,92
1599,10474,92
10474,10519,92
10474,4804,92
10474,1599,92
7448,9145,93
7448,9501,93
7448,11442,93
7448,6283,93
7448,17181,93
7448,1355,93
9145,7448,93
9145,9501,93
9145,11442,93
9145,6283,93
9145,17181,93
9145,1355,93
9501,7448,93
9501,9145,93
9501,11442,93
9501,6283,93
9501,17181,93
9501,1355,93
11442,7448,93
11442,9145,93
11442,9501,93
11442,6283,93
11442,17181,93
11442,1355,93
6283,7448,93
6283,9145,93
6283,9501,93
6283,11442,93
6283,17181,93
6283,1355,93
17181,7448,93
17181,9145,93
17181,9501,93
17181,11442,93
17181,6283,93
17181,1355,93
1355,7448,93
1355,9145,93
1355,9501,93
1355,11442,93
1355,6283,93
1355,17181,93
15553,14208,95
14208,15553,95
17262,7433,96
7433,17262,96
13884,4412,97
13884,13883,97
13884,3468,97
13884,13004,97
13884,16599,97
13884,13084,97
13884,6283,97
4412,13884,97
4412,13883,97
4412,3468,97
4412,13004,97
4412,16599,97
4412,13084,97
4412,6283,97
13883,13884,97
13883,4412,97
13883,3468,97
13883,13004,97
13883,16599,97
13883,13084,97
13883,6283,97
3468,13884,97
3468,4412,97
3468,13883,97
3468,13004,97
3468,16599,97
3468,13084,97
3468,6283,97
13004,13884,97
13004,4412,97
13004,13883,97
13004,3468,97
13004,16599,97
13004,13084,97
13004,6283,97
16599,13884,97
16599,4412,97
16599,13883,97
16599,3468,97
16599,13004,97
16599,13084,97
16599,6283,97
13084,13884,97
13084,4412,97
13084,13883,97
13084,3468,97
13084,13004,97
13084,16599,97
13084,6283,97
6283,13884,97
6283,4412,97
6283,13883,97
6283,3468,97
6283,13004,97
6283,16599,97
6283,13084,97
689,2925,98
689,11863,98
689,10402,98
689,11169,98
689,3201,98
2925,689,98
2925,11863,98
2925,10402,98
2925,11169,98
2925,3201,98
11863,689,98
11863,2925,98
11863,10402,98
11863,11169,98
11863,3201,98
10402,689,98
10402,2925,98
10402,11863,98
10402,11169,98
10402,3201,98
11169,689,98
11169,2925,98
11169,11863,98
11169,10402,98
11169,3201,98
3201,689,98
3201,2925,98
3201,11863,98
3201,10402,98
3201,11169,98
13199,987,99
13199,9951,99
987,13199,99
987,9951,99
9951,13199,99
9951,987,99
1559,10066,100
10066,1559,100
1982,11,101
11,1982,101
11361,8544,102
8544,11361,102
4179,4567,103
4567,4179,103
3822,11020,104
3822,8861,104
11020,3822,104
11020,8861,104
8861,3822,104
8861,11020,104
18258,4589,105
18258,14262,105
4589,18258,105
4589,14262,105
14262,18258,105
14262,4589,105
7293,16537,106
16537,7293,106
5430,3601,107
5430,4802,107
3601,5430,107
3601,4802,107
4802,5430,107
4802,3601,107
7393,17032,111
7393,17116,111
7393,7505,111
17032,7393,111
17032,17116,111
17032,7505,111
17116,7393,111
17116,17032,111
17116,7505,111
7505,7393,111
7505,17032,111
7505,17116,111
4063,14332,112
4063,14333,112
14332,4063,112
14332,14333,112
14333,4063,112
14333,14332,112
10019,17737,113
10019,8815,113
17737,10019,113
17737,8815,113
8815,10019,113
8815,17737,113
10068,15101,114
15101,10068,114
17727,18042,115
18042,17727,115
5677,8044,116
8044,5677,116
9667,13036,117
9667,5764,117
9667,12536,117
9667,3837,117
13036,9667,117
13036,5764,117
13036,12536,117
13036,3837,117
5764,9667,117
5764,13036,117
5764,12536,117
5764,3837,117
12536,9667,117
12536,13036,117
12536,5764,117
12536,3837,117
3837,9667,117
3837,13036,117
3837,5764,117
3837,12536,117
17990,14699,118
14699,17990,118
17072,9030,119
9030,17072,119
9550,7376,120
9550,12582,120
7376,9550,120
7376,12582,120
12582,9550,120
12582,7376,120
14409,8388,121
14409,9179,121
8388,14409,121
8388,9179,121
9179,14409,121
9179,8388,121
10312,12478,122
10312,4729,122
10312,5042,122
10312,13665,122
12478,10312,122
12478,4729,122
12478,5042,122
12478,13665,122
4729,10312,122
4729,12478,122
4729,5042,122
4729,13665,122
5042,10312,122
5042,12478,122
5042,4729,122
5042,13665,122
13665,10312,122
13665,12478,122
13665,4729,122
13665,5042,122
17983,11793,123
17983,7662,123
11793,17983,123
11793,7662,123
7662,17983,123
7662,11793,123
4178,13791,124
13791,4178,124
16730,8502,125
8502,16730,125
3223,4463,126
3223,11843,126
3223,12266,126
3223,15244,126
3223,13676,126
4463,3223,126
4463,11843,126
4463,12266,126
4463,15244,126
4463,13676,126
11843,3223,126
11843,4463,126
11843,12266,126
11843,15244,126
11843,13676,126
12266,3223,126
12266,4463,126
12266,11843,126
12266,15244,126
12266,13676,126
15244,3223,126
15244,4463,126
15244,11843,126
15244,12266,126
15244,13676,126
13676,3223,126
13676,4463,126
13676,11843,126
13676,12266,126
13676,15244,126
7569,14450,127
7569,1987,127
14450,7569,127
14450,1987,127
1987,7569,127
1987,14450,127
9027,181,128
9027,11515,128
9027,5729,128
9027,9900,128
181,9027,128
181,11515,128
181,5729,128
181,9900,128
11515,9027,128
11515,181,128
11515,5729,128
11515,9900,128
5729,9027,128
5729,181,128
5729,11515,128
5729,9900,128
9900,9027,128
9900,181,128
9900,11515,128
9900,5729,128
10897,1811,129
1811,10897,129
17393,7149,130
17393,12128,130
7149,17393,130
7149,12128,130
12128,17393,130
12128,7149,130
7694,4865,131
7694,10379,131
7694,222,131
4865,7694,131
4865,10379,131
4865,222,131
10379,7694,131
10379,4865,131
10379,222,131
222,7694,131
222,4865,131
222,10379,131
17203,12874,132
17203,8402,132
17203,5855,132
17203,2191,132
12874,17203,132
12874,8402,132
12874,5855,132
12874,2191,132
8402,17203,132
8402,12874,132
8402,5855,132
8402,2191,132
5855,17203,132
5855,12874,132
5855,8402,132
5855,2191,132
2191,17203,132
2191,12874,132
2191,8402,132
2191,5855,132
3330,4757,133
4757,3330,133
4700,12350,134
4700,9160,134
4700,293,134
4700,10282,134
12350,4700,134
12350,9160,134
12350,293,134
12350,10282,134
9160,4700,134
9160,12350,134
9160,293,134
9160,10282,134
293,4700,134
293,12350,134
293,9160,134
293,10282,134
10282,4700,134
10282,12350,134
10282,9160,134
10282,293,134
15132,1837,136
1837,15132,136
1098,4732,137
1098,9534,137
4732,1098,137
4732,9534,137
9534,1098,137
9534,4732,137
8730,9030,138
8730,4048,138
8730,11357,138
8730,270,138
9030,8730,138
9030,4048,138
9030,11357,138
9030,270,138
4048,8730,138
4048,9030,138
4048,11357,138
4048,270,138
11357,8730,138
11357,9030,138
11357,4048,138
11357,270,138
270,8730,138
270,9030,138
270,4048,138
270,11357,138
16504,11638,139
11638,16504,139
1106,15679,141
1106,6534,141
15679,1106,141
15679,6534,141
6534,1106,141
6534,15679,141
14505,14818,142
14505,17422,142
14505,7407,142
14505,12532,142
14505,12986,142
14818,14505,142
14818,17422,142
14818,7407,142
14818,12532,142
14818,12986,142
17422,14505,142
17422,14818,142
17422,7407,142
17422,12532,142
17422,12986,142
7407,14505,142
7407,14818,142
7407,17422,142
7407,12532,142
7407,12986,142
12532,14505,142
12532,14818,142
12532,17422,142
12532,7407,142
12532,12986,142
12986,14505,142
12986,14818,142
12986,17422,142
12986,7407,142
12986,12532,142
11905,4587,144
4587,11905,144
15217,963,145
15217,15223,145
15217,1949,145
963,15217,145
963,15223,145
963,1949,145
15223,15217,145
15223,963,145
15223,1949,145
1949,15217,145
1949,963,145
1949,15223,145
17955,14530,146
17955,13238,146
14530,17955,146
14530,13238,146
13238,17955,146
13238,14530,146
6336,13739,148
6336,6841,148
6336,14350,148
6336,15462,148
6336,6771,148
6336,10417,148
6336,2198,148
13739,6336,148
13739,6841,148
13739,14350,148
13739,15462,148
13739,6771,148
13739,10417,148
13739,2198,148
6841,6336,148
6841,13739,148
6841,14350,148
6841,15462,148
6841,6771,148
6841,10417,148
6841,2198,148
14350,6336,148
14350,13739,148
14350,6841,148
14350,15462,148
14350,6771,148
14350,10417,148
