idP,idC
13328,7
13331,6
13333,6
13335,7
13353,6
13365,7
13369,7
13370,7
13383,7
13394,7
13396,6
13398,7
13402,6
13403,7
13405,7
13422,7
13440,6
13451,7
13456,7
13466,6
13469,7
13476,6
13481,7
13511,7
13516,7
13520,7
13531,7
13539,6
13543,7
13545,6
13550,6
13562,7
13565,6
13576,6
13578,7
13579,7
13587,6
13611,7
13612,7
13617,6
13620,7
13628,6
13638,6
13646,7
13650,6
13665,6
13684,7
13693,6
13701,7
13702,7
13709,6
13711,7
13721,7
13725,6
13727,7
13732,7
13739,6
13746,6
13752,7
13754,7
13761,7
13762,7
13768,7
13774,7
13779,6
13783,6
13820,6
13827,7
13830,6
13834,7
13841,6
13844,6
13849,7
13854,7
13860,7
13866,6
13873,7
13875,6
13879,7
13881,6
13885,7
13886,7
13888,6
13897,6
13900,7
13917,7
13930,6
13933,7
13938,6
13940,7
13948,7
13952,6
13958,6
13969,6
13973,7
16485,0
16486,0
16487,0
16491,0
16492,0
16494,0
16499,0
16503,0
16504,0
16505,0
16506,0
16507,0
16509,0
16515,0
16517,0
16523,0
16531,0
16533,0
16536,0
16538,0
16542,0
16544,0
16548,0
16549,0
16550,0
16551,0
16553,0
16554,0
16558,0
16562,0
16563,0
16566,0
16567,0
16569,0
16570,0
16571,0
16573,0
16574,0
16576,0
16578,0
16579,0
16590,0
16593,0
16594,0
16597,0
16602,0
16603,0
16609,0
16612,0
16615,0
16625,0
16626,0
16630,0
16634,0
16635,0
16636,0
16637,0
16638,0
16641,0
16644,0
16647,0
16649,0
16650,0
16651,0
16653,0
16654,0
16658,0
16661,0
16662,0
16670,0
16672,0
16673,0
16674,0
16675,0
16678,0
16680,0
16681,0
16682,0
16684,0
16689,0
16692,0
16693,0
16697,0
16701,0
16707,0
16714,0
16723,0
16724,0
16727,0
16731,0
16734,0
16735,0
16736,0
16737,0
16739,0
16741,0
16742,0
16743,0
16744,0
16748,0
16751,0
16752,0
16753,0
16754,0
16756,0
16757,0
16760,0
16761,0
16763,0
16766,0
16770,0
16771,0
16773,0
16774,0
16784,0
16786,0
16789,0
16792,0
16793,0
16794,0
16795,0
16796,0
16798,0
16799,0
16801,0
16804,0
16805,0
16806,0
16808,0
16810,0
16814,0
16815,0
16816,0
16817,0
16818,0
16819,0
16821,0
16832,0
16836,0
16839,0
16841,0
16844,0
16848,0
16851,0
16858,0
16860,0
16861,0
16862,0
16866,0
16867,0
16868,0
16871,0
16872,0
16874,0
16876,0
16877,0
16880,0
16881,0
16884,0
16886,0
16888,0
16890,0
16898,0
16899,0
16903,0
16904,0
16912,0
16915,0
16917,0
16924,0
16925,0
16930,0
16936,0
16937,0
16940,0
16941,0
16946,0
16949,0
16954,0
16956,0
16957,0
16960,0
16963,0
16969,0
16970,0
16972,0
16978,0
16981,0
16982,0
16983,0
16987,0
